name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;928;0;928;3213;1224;3213;1104;0
header;141;159;141;189;1768;189;1768;159
A;950;217;950;244;970;244;970;217
B;949;877;949;903;968;903;968;877
A;947;1062;947;1063;947;1063;947;1062
C;981;1220;981;1239;995;1239;995;1220
A;1119;1448;1119;1464;1126;1464;1126;1448
A;985;1493;985;1509;993;1509;993;1493
C;945;1550;945;1576;964;1576;964;1550
A;985;1629;985;1644;993;1644;993;1629
A;986;1673;986;1689;994;1689;994;1673
A;985;1718;985;1734;993;1734;993;1718
A;986;1809;986;1825;993;1825;993;1809
D;946;2220;946;2245;966;2245;966;2220
