name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1019;0;1043;3223;1860;3223;1860;0
header;260;162;260;207;1902;207;1902;162
A;1070;234;1070;262;1093;262;1093;234
A;1399;378;1399;384;1404;384;1404;378
A;1839;562;1839;568;1845;568;1845;562
A;1143;702;1143;718;1152;718;1152;702
A;1187;794;1187;800;1193;800;1193;794
A;1568;795;1568;810;1576;810;1576;795
B;1069;914;1069;942;1090;942;1090;914
A;1269;1071;1269;1077;1275;1077;1275;1071
A;1642;1207;1642;1214;1649;1214;1649;1207
B;1670;1346;1670;1361;1679;1361;1679;1346
B;1263;1523;1263;1549;1299;1549;1299;1523
B;1652;1531;1652;1546;1661;1546;1661;1531
C;1062;1586;1062;1615;1083;1615;1083;1586
B;1439;1947;1439;1962;1447;1962;1447;1947
A;1321;2173;1321;2179;1327;2179;1327;2173
D;1061;2261;1061;2289;1083;2289;1083;2261
A;1787;2263;1787;2268;1793;2268;1793;2263
A;1616;2599;1616;2599;1617;2599;1617;2599
A;1310;2721;1310;2736;1318;2736;1318;2721
A;1133;2903;1133;2919;1141;2919;1141;2903
A;1761;3081;1761;3089;1768;3089;1768;3081
